id,title,topic_id,order_index
3b33cd83-7fb5-4eda-bbdf-a111a758ce56,Matter and its classification,80e3b7ff-3344-45e1-8dee-d6d8542d7491,1
5ea7cc56-8f37-4015-927e-b0f3942cf6fb,Physical and chemical properties of matter,80e3b7ff-3344-45e1-8dee-d6d8542d7491,2
99e27d9e-b676-488b-8346-b6a296ff1202,Physical and chemical changes,80e3b7ff-3344-45e1-8dee-d6d8542d7491,3
b16176d8-3351-4535-94b3-e7d28200035d,States of matter,80e3b7ff-3344-45e1-8dee-d6d8542d7491,4
27cd180d-cf81-4f4d-93ac-9855dad317b2,Interconversion of states,80e3b7ff-3344-45e1-8dee-d6d8542d7491,5
7e6c4cbe-d4b4-4e22-88b4-ed39391ec4eb,Particle nature of matter,80e3b7ff-3344-45e1-8dee-d6d8542d7491,6
4a197dae-8c87-43f5-93d5-9ea012208133,Law of conservation of mass,10380809-e8a3-4a7f-a4ec-b7f3ae4fefbd,1
7c5b9649-b6b8-4705-af59-0849f48fdbe9,Law of definite proportions,10380809-e8a3-4a7f-a4ec-b7f3ae4fefbd,2
3a1196df-6683-4905-90d6-8cb2a804d6d9,Law of multiple proportions,10380809-e8a3-4a7f-a4ec-b7f3ae4fefbd,3
c60a5205-a6d4-453c-b060-2eb6080efcbd,Gay-Lussac’s law of gaseous volumes,10380809-e8a3-4a7f-a4ec-b7f3ae4fefbd,4
fd4f951f-8300-4b63-89bb-de7b93e9611f,Avogadro’s law,10380809-e8a3-4a7f-a4ec-b7f3ae4fefbd,5
1222678d-7feb-4231-a45b-f974e05346c8,Dalton’s atomic theory,10380809-e8a3-4a7f-a4ec-b7f3ae4fefbd,6
27d1ddbd-3ecd-4d00-bc4f-819a6ef45724,Atomic mass,5ec427c8-7ff2-4177-a495-f8e2f6d783c0,1
c8894e5e-1507-46a1-8ddd-3e335f19ffa8,Molecular mass,5ec427c8-7ff2-4177-a495-f8e2f6d783c0,2
827f64b3-a87e-4cd8-973f-78b8676c1988,Formula mass,5ec427c8-7ff2-4177-a495-f8e2f6d783c0,3
6a087081-350b-45ce-8edf-36a47c9f0c4c,Average atomic mass,5ec427c8-7ff2-4177-a495-f8e2f6d783c0,4
114551f8-f4aa-46a1-99dc-e9dda15e83e2,Relative atomic mass,5ec427c8-7ff2-4177-a495-f8e2f6d783c0,5
0124ce79-7ab2-4fae-9159-554ed273f878,Mole definition,3bd83c8b-6249-48cd-8ff6-9d84774daf9e,1
43e52a98-2399-4b18-9b41-932e774826af,Avogadro number,3bd83c8b-6249-48cd-8ff6-9d84774daf9e,2
8c28f6a5-e313-487c-ba18-8134b60853f0,Mole-mass relationship,3bd83c8b-6249-48cd-8ff6-9d84774daf9e,3
64b4fd3b-6379-4cf1-a6fd-6f8a36c8c778,Mole-volume relationship,3bd83c8b-6249-48cd-8ff6-9d84774daf9e,4
41895cf3-6d5b-4b52-ab36-ff14b9c4c318,Mole-particle relationship,3bd83c8b-6249-48cd-8ff6-9d84774daf9e,5
afb612db-0742-4818-9b99-1372f5e80f76,Writing chemical equations,fe725d2b-90e7-4ad7-82b3-12261e2a9149,1
8e4cf2a2-ea9a-4fbd-87c9-ded2bed7f784,Balanced chemical equations,fe725d2b-90e7-4ad7-82b3-12261e2a9149,2
7ed958ca-7f38-4965-9ad1-beb0936c9f08,Limiting reagent,fe725d2b-90e7-4ad7-82b3-12261e2a9149,3
c88e0a7c-1138-48db-b987-65e73680d124,Excess reagent,fe725d2b-90e7-4ad7-82b3-12261e2a9149,4
7d591fb4-3ed6-487c-829c-ad1808610df8,Percentage yield,fe725d2b-90e7-4ad7-82b3-12261e2a9149,5
8830ada3-1242-4c2a-9ee4-f6ad434acc8a,Empirical formula determination,d8a6e1c0-b117-4f5c-b157-929cadd0e7a3,1
4d2b687b-ef43-4a34-9a6d-b0b772af097f,Molecular formula calculation,d8a6e1c0-b117-4f5c-b157-929cadd0e7a3,2
05bb5483-d964-43c0-9d37-01fa72f8f4bf,Percentage composition,d8a6e1c0-b117-4f5c-b157-929cadd0e7a3,3
e54783e8-86b2-4d84-b2f4-b1669b2e665f,Nature of electromagnetic radiation,c183eb56-f835-45fc-84da-c8c3a8ab62fc,1
8e0b246e-375a-4a0d-837a-447ba783a0c7,Wave theory of light,c183eb56-f835-45fc-84da-c8c3a8ab62fc,2
c5936420-a5a4-470f-8715-2d12a97da9e6,Frequency,c183eb56-f835-45fc-84da-c8c3a8ab62fc,3
6d80b1f0-d127-4437-bfa0-28892cc9bd6b,Wavelength,c183eb56-f835-45fc-84da-c8c3a8ab62fc,4
f0ab206d-b581-4891-9431-90915425b6b9,Speed of light,c183eb56-f835-45fc-84da-c8c3a8ab62fc,5
5c329fe8-6b86-42d4-a30c-438f4f567835,Experimental observations,481a27c5-7a29-4db6-bff9-f55458477840,1
1bc233b3-9686-4eb7-96c3-08122338ce73,Threshold frequency,481a27c5-7a29-4db6-bff9-f55458477840,2
6fac8e9c-20e3-416f-8102-1b3a4d5b5d26,Einstein explanation,481a27c5-7a29-4db6-bff9-f55458477840,3
36218182-50ca-4cf0-a654-47bf769f4d49,Postulates of Bohr theory,b74e042f-29ba-44c3-b377-6621b28a84be,1
