id,title,topic_id,order_index
8f1f6bcb-fb9f-5d24-bbfc-379d4531aefe,Definition of physical quantities,cedb88a9-b533-51a6-806a-5df0b0b13a87,1
bf024992-879d-587b-9489-e8c798eab88f,"Types of physical quantities (Fundamental quantities, Derived quantities)",cedb88a9-b533-51a6-806a-5df0b0b13a87,2
9b169202-5239-5915-877f-b17619d16c7b,"Examples of fundamental quantities (Length, Mass, Time, Electric current, Temperature, Amount of substance, Luminous intensity)",cedb88a9-b533-51a6-806a-5df0b0b13a87,3
dc25a703-d8b7-5d88-9845-615b79fbb8b7,"Derived quantities examples (Velocity, Acceleration, Force, Work, Energy)",cedb88a9-b533-51a6-806a-5df0b0b13a87,4
a271e63a-5bb5-5cc9-9e45-5ff252f0845f,Definition of unit,6611061c-fd0e-5f92-8ac2-501924b7015c,1
82468afd-1d20-52c8-be5f-55bfd35b1d57,Need for standard units,6611061c-fd0e-5f92-8ac2-501924b7015c,2
4212dab7-b213-5293-a561-5548d09d92a0,"Types of unit systems (CGS system, MKS system, FPS system, SI system)",6611061c-fd0e-5f92-8ac2-501924b7015c,3
1d73f15d-33e3-56ae-9273-5683b9aa1cef,"Micro-subtopics (Advantages of SI system, International acceptance of SI units)",6611061c-fd0e-5f92-8ac2-501924b7015c,4
dbc3fcce-3432-5e89-8ad0-d10431abc1ab,"Seven fundamental SI units (Meter (m), Kilogram (kg), Second (s), Ampere (A), Kelvin (K), Mole (mol), Candela (cd))",83cfe713-837d-50d3-86d7-6bf2e4e16050,1
afd7c470-f5ec-55e2-bf50-225efcb574ee,"Derived SI units (Newton, Joule, Watt, Pascal, Coulomb, Volt)",83cfe713-837d-50d3-86d7-6bf2e4e16050,2
5fa8191a-aa37-5d5a-8a45-1f75456b8a99,Direct measurement,8373de0c-7ac8-54fc-8130-8cf91ea8c501,1
bcd728c7-4627-558b-b610-3745b8141ade,Indirect measurement,8373de0c-7ac8-54fc-8130-8cf91ea8c501,2
cc3be445-c3d1-558a-be06-f1ca5c67e2a7,Measuring instruments,8373de0c-7ac8-54fc-8130-8cf91ea8c501,3
c7265b98-6d6c-543a-ac1c-29e228d09944,"Examples (Meter scale, Vernier calipers, Screw gauge, Stopwatch)",8373de0c-7ac8-54fc-8130-8cf91ea8c501,4
d460583f-65b6-5174-ad88-c32f655b8d9d,Definition of least count,c0ab06d4-373c-559c-963d-af6c65543f62,1
b149cb99-0e2f-596c-acd6-d9e0e13c89b3,Least count of meter scale,c0ab06d4-373c-559c-963d-af6c65543f62,2
d53ec493-e12f-554d-8c71-f54bae22b6ed,Least count of vernier calipers,c0ab06d4-373c-559c-963d-af6c65543f62,3
204cb7ce-a11e-5c3e-8c47-a0322084e948,Least count of screw gauge,c0ab06d4-373c-559c-963d-af6c65543f62,4
02d00785-8870-55b2-9ba2-9ffbc3d0f59d,Definition of significant figures,ed1f0fb7-70aa-5d6c-be5b-c65f4d15229e,1
1f1a0577-ae33-5d96-b3c3-c3b5314c8962,Rules for counting significant figures,ed1f0fb7-70aa-5d6c-be5b-c65f4d15229e,2
98b40f1d-fc1a-5f39-83aa-390606f04cff,"Zeros in significant figures (Leading zeros, Trailing zeros)",ed1f0fb7-70aa-5d6c-be5b-c65f4d15229e,3
0cef0085-a5db-565d-86af-c22319987eff,Rounding off numbers,ed1f0fb7-70aa-5d6c-be5b-c65f4d15229e,4
545e1c7b-7b4f-54a7-87d0-7626c6de462f,"Operations with significant figures (Addition, Subtraction, Multiplication, Division)",ed1f0fb7-70aa-5d6c-be5b-c65f4d15229e,5
70b68b20-30ad-5d0d-9ba8-63562c3982aa,"Types of errors (Systematic errors, Random errors, Instrumental errors)",3d3e71bf-37f7-5e9b-af4b-4e7b6c38efb2,1
26efdb30-e5ee-5c97-a1d3-c7c4c3da99ad,"Error calculation (Absolute error, Mean absolute error, Relative error, Percentage error)",3d3e71bf-37f7-5e9b-af4b-4e7b6c38efb2,2
48410850-fc46-53e0-9d95-1431a53bb62f,"Propagation of errors (Error in addition, Error in subtraction, Error in multiplication, Error in division, Error in power quantities)",3d3e71bf-37f7-5e9b-af4b-4e7b6c38efb2,3
